A,B,vU,vI,rU,rI,A_names,B_names
x1,i1,1|0|0,1|0|0,49,36,Israel,Autonomous Palestinian state on the West Bank and Gaza
x1,i2,1|0|0,0|1|0,49,6,Israel,Israeli military outposts along the Jordan River
x1,i3,1|0|0,1|0|0,49,36,Israel,Israel retains East Jerusalem
x1,i4,1|0|0,0|1|0,49,6,Israel,Israeli military outposts on the Golan Heights
x1,i5,1|0|0,0|0|1,49,1,Israel,Arab countries grant citizenship to Palestinians who remain within their borders
x1,i1|i2,1|0|0,1|1|0,49,42,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River
x1,i1|i3,1|0|0,2|0|0,49,72,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem
x1,i1|i4,1|0|0,1|1|0,49,42,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts on the Golan Heights
x1,i1|i5,1|0|0,1|0|1,49,37,Israel,Autonomous Palestinian state on the West Bank and Gaza|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i2|i3,1|0|0,1|1|0,49,42,Israel,Israeli military outposts along the Jordan River|Israel retains East Jerusalem
x1,i2|i4,1|0|0,0|2|0,49,12,Israel,Israeli military outposts along the Jordan River|Israeli military outposts on the Golan Heights
x1,i2|i5,1|0|0,0|1|1,49,7,Israel,Israeli military outposts along the Jordan River|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i3|i4,1|0|0,1|1|0,49,42,Israel,Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x1,i3|i5,1|0|0,1|0|1,49,37,Israel,Israel retains East Jerusalem|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i4|i5,1|0|0,0|1|1,49,7,Israel,Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i1|i2|i3,1|0|0,2|1|0,49,78,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem
x1,i1|i2|i4,1|0|0,1|2|0,49,48,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israeli military outposts on the Golan Heights
x1,i1|i2|i5,1|0|0,1|1|1,49,43,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i1|i3|i4,1|0|0,2|1|0,49,78,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x1,i1|i3|i5,1|0|0,2|0|1,49,73,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i1|i4|i5,1|0|0,1|1|1,49,43,Israel,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x1,i2|i3|i4,1|0|0,1|2|0,49,48,Israel,Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x1,i2|i3|i5,1|0|0,1|1|1,49,43,Israel,Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Arab countries grant citizenship to Palestinians who remain within their borders
