A,B,vU,vI,rU,rI,A_names,B_names
x2,i1|i2|i3|i4|i5,1|0|0,2|2|1,49,85,Egypt,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x3,i1|i2|i3|i4|i5,0|1|0,2|2|1,7,85,Palestine,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x4,i1|i2|i3|i4|i5,0|0|1,2|2|1,1,85,Jordan,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x5,i1|i2|i3|i4|i5,0|0|1,2|2|1,1,85,Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x6,i1|i3|i4,0|1|0,2|1|0,7,78,Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x2|x3,i1|i2|i3|i4|i5,1|1|0,2|2|1,56,85,Egypt|Palestine,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x4,i1|i2|i3|i4|i5,1|0|1,2|2|1,50,85,Egypt|Jordan,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x5,i1|i2|i3|i4|i5,1|0|1,2|2|1,50,85,Egypt|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x6,i1|i3|i4,1|1|0,2|1|0,56,78,Egypt|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x3|x4,i1|i2|i3|i4|i5,0|1|1,2|2|1,8,85,Palestine|Jordan,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x3|x5,i1|i2|i3|i4|i5,0|1|1,2|2|1,8,85,Palestine|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x3|x6,i1|i3|i4,0|2|0,2|1|0,14,78,Palestine|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x4|x5,i1|i2|i3|i4|i5,0|0|2,2|2|1,2,85,Jordan|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x4|x6,i1|i3|i4,0|1|1,2|1|0,8,78,Jordan|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x5|x6,i1|i3|i4,0|1|1,2|1|0,8,78,Syria|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x2|x3|x4,i1|i2|i3|i4|i5,1|1|1,2|2|1,57,85,Egypt|Palestine|Jordan,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x3|x5,i1|i2|i3|i4|i5,1|1|1,2|2|1,57,85,Egypt|Palestine|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x3|x6,i1|i3|i4,1|2|0,2|1|0,63,78,Egypt|Palestine|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x2|x4|x5,i1|i2|i3|i4|i5,1|0|2,2|2|1,51,85,Egypt|Jordan|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x4|x6,i1|i3|i4,1|1|1,2|1|0,57,78,Egypt|Jordan|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x2|x5|x6,i1|i3|i4,1|1|1,2|1|0,57,78,Egypt|Syria|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x3|x4|x5,i1|i2|i3|i4|i5,0|1|2,2|2|1,9,85,Palestine|Jordan|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x3|x4|x6,i1|i3|i4,0|2|1,2|1|0,15,78,Palestine|Jordan|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x3|x5|x6,i1|i3|i4,0|2|1,2|1|0,15,78,Palestine|Syria|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x4|x5|x6,i1|i3|i4,0|1|2,2|1|0,9,78,Jordan|Syria|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
x2|x3|x4|x5,i1|i2|i3|i4|i5,1|1|2,2|2|1,58,85,Egypt|Palestine|Jordan|Syria,Autonomous Palestinian state on the West Bank and Gaza|Israeli military outposts along the Jordan River|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights|Arab countries grant citizenship to Palestinians who remain within their borders
x2|x3|x4|x6,i1|i3|i4,1|2|1,2|1|0,64,78,Egypt|Palestine|Jordan|Saudi Arabia,Autonomous Palestinian state on the West Bank and Gaza|Israel retains East Jerusalem|Israeli military outposts on the Golan Heights
